algorithm,reward,iteration,value,time
algorithm_13ks,1,1,0.000000,0.000000
algorithm_13ks,1,2,-13.756611,0.712688
algorithm_13ks,1,3,-20.405489,0.956454
algorithm_13ks,1,4,-14.331672,1.197772
algorithm_13ks,1,5,-20.523258,1.423215
algorithm_13ks,1,6,-20.613813,1.658322
algorithm_13ks,1,7,-13.618342,1.920337
algorithm_13ks,1,8,-14.162849,2.224395
algorithm_13ks,1,9,-14.067052,2.518049
algorithm_13ks,1,10,-20.154902,2.791581
algorithm_13ks,1,11,-16.080418,3.066635
algorithm_13ks,1,12,-19.913003,3.344618
algorithm_13ks,1,13,-13.247090,3.906938
algorithm_13ks,1,14,-13.089880,4.197349
algorithm_13ks,1,15,-20.089661,4.504433
algorithm_13ks,1,16,-20.518378,4.841743
algorithm_13ks,1,17,-19.907232,5.178579
algorithm_13ks,1,18,-20.035429,5.578031
algorithm_13ks,1,19,-19.777593,6.013790
algorithm_13ks,1,20,-15.437759,6.459303
algorithm_13ks,1,21,-17.343721,6.921372
algorithm_13ks,1,22,-20.339615,7.397497
algorithm_13ks,1,23,-14.349149,7.888384
algorithm_13ks,1,24,-19.617675,8.377077
algorithm_13ks,1,25,-14.124963,8.886796
algorithm_13ks,1,26,-14.187358,9.398286
algorithm_13ks,1,27,-14.656258,9.935291
algorithm_13ks,1,28,-14.115249,10.529308
algorithm_13ks,1,29,-13.671203,11.131484
algorithm_13ks,1,30,-13.990693,11.690093
algorithm_13ks,1,31,-14.572818,12.260998
algorithm_lsp,1,1,0.000000,0.000000
algorithm_lsp,1,2,-20.293738,0.557711
algorithm_lsp,1,3,-20.498102,0.862899
algorithm_lsp,1,4,-20.043448,1.106464
algorithm_lsp,1,5,-19.257565,1.392588
algorithm_lsp,1,6,-19.359535,1.642571
algorithm_lsp,1,7,-19.309384,1.883087
algorithm_lsp,1,8,-20.048391,2.140702
algorithm_lsp,1,9,-20.440520,2.387555
algorithm_lsp,1,10,-20.223814,2.625359
algorithm_lsp,1,11,-20.341401,2.872213
algorithm_lsp,1,12,-20.027155,3.117089
algorithm_lsp,1,13,-20.356505,3.356868
algorithm_lsp,1,14,-20.190461,3.614752
algorithm_lsp,1,15,-20.129112,3.856787
algorithm_lsp,1,16,-20.710587,4.096587
algorithm_lsp,1,17,-20.944788,4.351454
algorithm_lsp,1,18,-20.838355,4.588476
algorithm_lsp,1,19,-20.756373,4.828078
algorithm_lsp,1,20,-20.718093,5.065934
algorithm_lsp,1,21,-20.416814,5.306420
algorithm_lsp,1,22,-20.382278,5.541389
algorithm_lsp,1,23,-20.682787,5.785014
algorithm_lsp,1,24,-20.324275,6.026341
algorithm_lsp,1,25,-20.421631,6.272814
algorithm_lsp,1,26,-20.677956,6.512396
algorithm_lsp,1,27,-20.644949,6.751928
algorithm_lsp,1,28,-19.978275,6.994478
algorithm_lsp,1,29,-16.271503,7.236072
algorithm_lsp,1,30,-16.642552,7.476339
algorithm_lsp,1,31,-16.388330,7.714309
algorithm_ksp,1,1,0.000000,0.000000
algorithm_ksp,1,2,-20.667729,5.199623
algorithm_ksp,1,3,-20.512000,10.529556
algorithm_ksp,1,4,-20.616499,15.808458
algorithm_ksp,1,5,-20.785480,21.108392
algorithm_ksp,1,6,-20.701109,26.380951
algorithm_ksp,1,7,-20.350794,31.670383
algorithm_ksp,1,8,-20.494095,37.014966
algorithm_ksp,1,9,-20.676119,42.309830
algorithm_ksp,1,10,-20.768932,47.612484
algorithm_ksp,1,11,-20.680844,52.912598
algorithm_ksp,1,12,-20.761288,58.197510
algorithm_ksp,1,13,-20.310970,63.606395
algorithm_ksp,1,14,-20.738053,69.072352
algorithm_ksp,1,15,-20.650105,74.462289
algorithm_ksp,1,16,-20.575177,79.792376
algorithm_ksp,1,17,-20.671323,85.157624
algorithm_ksp,1,18,-20.507311,90.544063
algorithm_ksp,1,19,-20.480693,95.835612
algorithm_ksp,1,20,-20.719071,101.126699
algorithm_ksp,1,21,-20.552914,106.405328
algorithm_ksp,1,22,-20.497777,111.670518
algorithm_ksp,1,23,-20.694539,116.938446
algorithm_ksp,1,24,-20.731009,122.219425
algorithm_ksp,1,25,-20.516127,127.507336
algorithm_ksp,1,26,-20.605021,132.817807
algorithm_ksp,1,27,-20.842067,138.103037
algorithm_ksp,1,28,-20.818961,143.390366
algorithm_ksp,1,29,-20.691421,148.687012
algorithm_ksp,1,30,-20.944788,153.975327
algorithm_ksp,1,31,-20.476112,159.273946
algorithm_13kx,1,1,0.000000,0.000000
algorithm_13kx,1,2,-13.689756,0.532790
algorithm_13kx,1,3,-20.232257,0.758137
algorithm_13kx,1,4,-20.447444,1.041364
algorithm_13kx,1,5,-16.061232,1.251004
algorithm_13kx,1,6,-16.673548,1.466393
algorithm_13kx,1,7,-19.888053,1.712042
