algorithm,policy,featexp,value,time,s,n
algorithm5,0.24,0.107569,0.987392,0.117269,50,10
algorithm5,0.333333,0.092024,0.959745,0.244939,50,15
algorithm5,0.4125,0.083955,0.946635,0.553687,50,20
algorithm5,0.4848,0.104907,0.897589,0.681075,50,25
algorithm5,0.476667,0.091477,0.916312,1.118722,50,30
algorithm5,0.26,0.064982,0.979044,0.053227,50,10
algorithm5,0.217778,0.062311,0.97874,0.176028,50,15
algorithm5,0.3675,0.082494,0.952872,0.435092,50,20
algorithm5,0.52,0.127512,0.875354,0.688835,50,25
algorithm5,0.512222,0.103088,0.902391,0.785881,50,30
algorithm5,0.22,0.062493,0.985903,0.068269,50,10
algorithm5,0.435556,0.157575,0.909757,0.304181,50,15
algorithm5,0.4625,0.134359,0.929073,0.421546,50,20
algorithm5,0.4656,0.115394,0.871997,0.6617,50,25
algorithm5,0.487778,0.084979,0.916293,0.769226,50,30
algorithm5,0.2,0.083246,0.988735,0.045204,50,10
algorithm5,0.311111,0.11452,0.963016,0.180145,50,15
algorithm5,0.4525,0.095174,0.930863,0.43316,50,20
algorithm5,0.48,0.09041,0.886308,0.750257,50,25
algorithm5,0.47,0.080209,0.898477,0.91652,50,30
algorithm5,0.23,0.065306,0.988348,0.110438,50,10
algorithm5,0.293333,0.088897,0.969407,0.205638,50,15
algorithm5,0.385,0.096993,0.942543,0.429462,50,20
algorithm5,0.4656,0.09856,0.917207,0.743747,50,25
algorithm5,0.517778,0.103135,0.892688,0.968712,50,30
algorithm5,0.22,0.073439,0.9801,0.058165,50,10
algorithm5,0.391111,0.136724,0.940582,0.26434,50,15
algorithm5,0.4175,0.104468,0.93456,0.33611,50,20
algorithm5,0.5024,0.130325,0.837564,0.628585,50,25
algorithm5,0.471111,0.078725,0.913444,0.967221,50,30
algorithm5,0.17,0.018678,0.987355,0.057141,50,10
algorithm5,0.368889,0.077512,0.968442,0.277041,50,15
algorithm5,0.4025,0.095892,0.949486,0.462992,50,20
algorithm5,0.456,0.100577,0.923432,0.639763,50,25
algorithm5,0.464444,0.097,0.886884,1.065572,50,30
algorithm5,0.26,0.050511,0.989607,0.054324,50,10
algorithm5,0.377778,0.092691,0.958337,0.218762,50,15
algorithm5,0.455,0.123795,0.902562,0.410946,50,20
algorithm5,0.5104,0.091124,0.894529,0.705644,50,25
algorithm5,0.486667,0.117543,0.872007,0.966868,50,30
algorithm5,0.29,0.097597,0.968721,0.058123,50,10
algorithm5,0.337778,0.071376,0.960483,0.187538,50,15
algorithm5,0.46,0.137636,0.87996,0.442736,50,20
algorithm5,0.4528,0.10748,0.906332,0.553214,50,25
algorithm5,0.466667,0.0901,0.90333,1.003899,50,30
algorithm5,0.24,0.053509,0.988137,0.085379,50,10
algorithm5,0.355556,0.103838,0.973765,0.119732,50,15
algorithm5,0.4025,0.068055,0.941099,0.486679,50,20
algorithm5,0.4064,0.088955,0.942903,0.675509,50,25
algorithm5,0.486667,0.103664,0.868462,0.854031,50,30
an,0.46,0.291064,0.609515,0.571447,50,10
an,0.528889,0.34688,0.37479,1.803543,50,15
an,0.5375,0.255871,0.415099,2.59729,50,20
an,0.6128,0.216932,0.291857,4.536909,50,25
an,0.594444,0.195981,0.347315,4.878413,50,30
an,0.54,0.319132,0.598783,0.442492,50,10
an,0.475556,0.330838,0.475462,0.986849,50,15
an,0.6425,0.286549,0.216504,2.793737,50,20
an,0.664,0.233563,0.427024,4.697375,50,25
an,0.634444,0.170431,0.244803,6.061462,50,30
