algorithm,reward,iteration,value,time
algorithm_13k,1,1,0.000000,0.000000
algorithm_13k,1,2,6.598603,0.742521
algorithm_13k,1,3,6.998683,1.151331
algorithm_13k,1,4,7.400438,1.590481
algorithm_13k,1,5,6.537942,1.992099
algorithm_13k,1,6,7.627105,2.395034
algorithm_13k,1,7,7.871306,2.919506
algorithm_13k,1,8,7.881644,3.451191
algorithm_13k,1,9,7.102355,3.998140
algorithm_13k,1,10,7.031831,4.509568
algorithm_13k,1,11,10.592467,5.031576
algorithm_13k,1,12,9.615972,5.590322
algorithm_13k,1,13,8.991500,6.440352
algorithm_13k,1,14,8.012513,7.176569
algorithm_13k,1,15,7.568620,7.834420
algorithm_13k,1,16,6.278203,8.509660
algorithm_13k,1,17,7.083112,9.198603
algorithm_13k,1,18,7.148551,9.927568
algorithm_13k,1,19,7.070393,10.692274
algorithm_13k,1,20,9.315056,11.428066
algorithm_13k,1,21,8.881894,12.281584
algorithm_13k,1,22,8.027655,13.047396
algorithm_13k,1,23,8.328115,13.819019
algorithm_13k,1,24,8.181963,14.636028
algorithm_13k,1,25,8.104440,15.434810
algorithm_13k,1,26,7.509537,16.247135
algorithm_13k,1,27,7.792813,17.075259
algorithm_13k,1,28,7.850873,17.993190
algorithm_13k,1,29,9.166451,18.906319
algorithm_13k,1,30,9.952299,19.809420
algorithm_13k,1,31,10.543679,20.744315
algorithm_lsp,1,1,0.000000,0.000000
algorithm_lsp,1,2,3.774306,1.067472
algorithm_lsp,1,3,3.497388,1.519739
algorithm_lsp,1,4,3.477692,1.926976
algorithm_lsp,1,5,3.175348,2.325531
algorithm_lsp,1,6,3.103697,2.717634
algorithm_lsp,1,7,2.953332,3.127126
algorithm_lsp,1,8,7.409603,3.524524
algorithm_lsp,1,9,7.980305,3.937600
algorithm_lsp,1,10,7.734571,4.332799
algorithm_lsp,1,11,4.987644,4.732096
algorithm_lsp,1,12,4.984980,5.132229
algorithm_lsp,1,13,4.968866,5.560795
algorithm_lsp,1,14,3.955054,6.047514
algorithm_lsp,1,15,4.039573,6.439704
algorithm_lsp,1,16,3.883097,6.859443
algorithm_lsp,1,17,5.299900,7.270168
algorithm_lsp,1,18,5.241510,7.712726
algorithm_lsp,1,19,5.443893,8.130152
algorithm_lsp,1,20,5.120000,8.534386
algorithm_lsp,1,21,5.042641,8.934608
algorithm_lsp,1,22,5.022227,9.339208
algorithm_lsp,1,23,4.276164,9.741600
algorithm_lsp,1,24,4.309302,10.147183
algorithm_lsp,1,25,4.279980,10.556985
algorithm_lsp,1,26,4.654155,10.962262
algorithm_lsp,1,27,4.680455,11.356824
algorithm_lsp,1,28,4.397735,11.762456
algorithm_lsp,1,29,3.388878,12.161427
algorithm_lsp,1,30,3.488716,12.557932
algorithm_lsp,1,31,3.558013,12.952399
algorithm_ksp,1,1,0.000000,0.000000
algorithm_ksp,1,2,0.853499,8.811402
algorithm_ksp,1,3,0.837317,17.566780
algorithm_ksp,1,4,0.782165,26.176970
algorithm_ksp,1,5,3.605216,34.777193
algorithm_ksp,1,6,1.005721,43.392184
algorithm_ksp,1,7,0.804100,52.038272
algorithm_ksp,1,8,0.813196,60.760306
algorithm_ksp,1,9,5.977745,69.452675
algorithm_ksp,1,10,0.781030,78.117827
algorithm_ksp,1,11,0.777333,86.710317
algorithm_ksp,1,12,0.785310,95.316336
algorithm_ksp,1,13,6.077088,103.956391
algorithm_ksp,1,14,0.792599,112.581241
algorithm_ksp,1,15,0.820674,121.203807
